Name,VMName,NetworkPath,Zone,NewPriIP,NewPriSNM,NewPriGW,ChangeBU,CurBUIP,NewBUIP,NewBUSNM,ChangeTSM,NewTSMDrive,NewTargetTSMDC,NewTSMServer,NewTSMTCPPort,ReCFGDate,ReCFGTime
bosd7iival01,bosd7iival01,192.168.95.130,Intranet,10.86.12.132,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival02,bosd7iival02,192.168.95.131,Intranet,10.86.12.148,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival03,bosd7iival03,192.168.95.132,Intranet,10.86.12.150,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival04,bosd7iival04,192.168.95.133,Intranet,10.86.12.151,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival05,bosd7iival05,192.168.95.134,Intranet,10.86.12.152,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival06,bosd7iival06,192.168.95.135,Intranet,10.86.12.153,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival07,bosd7iival07,192.168.95.136,Intranet,10.86.12.154,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iival08,bosd7iival08,192.168.95.137,Intranet,10.86.12.155,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprora02,bosd7iprora02,192.168.95.69,Intranet,10.86.12.156,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprpes01,bosd7iprpes01,192.168.95.232,Intranet,10.86.12.157,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprpes02,bosd7iprpes02,192.168.95.166,Intranet,10.86.12.158,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprpes03,bosd7iprpes03,192.168.95.62,Intranet,10.86.12.159,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprsql02,bosd7iprsql02,192.168.95.63,Intranet,10.86.12.160,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprsql03,bosd7iprsql03,192.168.95.64,Intranet,10.86.12.161,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdviftrm01,wpdviftrm01,192.168.95.73,Intranet,10.86.12.163,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvii20pes01,wpdvii20pes01,192.168.95.212,Intranet,10.86.12.164,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvii20sdb01,wpdvii20sdb01,192.168.95.13,Intranet,10.86.12.166,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdviisdb03,wpdviisdb03,192.168.95.161,Intranet,10.86.12.168,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvip6pes01,wpdvip6pes01,192.168.95.187,Intranet,10.86.12.170,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvip6sdb01,wpdvip6sdb01,192.168.95.242,Intranet,10.86.12.172,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvip6sdb04,wpdvip6sdb04,192.168.95.23,Intranet,10.86.12.174,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wpdvpfpe02,wpdvpfpe02,192.168.95.175,Intranet,10.86.12.177,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wppfiisdb01,wppfiisdb01,192.168.95.178,Intranet,10.86.12.183,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvi18ns01,wvdvi18ns01,192.168.95.25,Intranet,10.86.12.186,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvicpcrt1,wvdvicpcrt1,192.168.95.54,Intranet,10.86.12.189,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvicpcrt2,wvdvicpcrt2,192.168.95.55,Intranet,10.86.12.192,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvicpcrt3,wvdvicpcrt3,192.168.95.202,Intranet,10.86.12.196,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvifbld01,wvdvifbld01,192.168.95.143,Intranet,10.86.12.202,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdvii12pes01,wvdvii12pes01,192.168.95.176,Intranet,10.86.12.210,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed1935,apsed1935,192.168.95.88,Intranet,10.86.12.242,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed1936,apsed1936,192.168.95.89,Intranet,10.86.13.5,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed1932,apsed1932,192.168.95.85,Intranet,10.86.12.217,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed1933,apsed1933,192.168.95.86,Intranet,10.86.13.1,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed1934,apsed1934,192.168.95.87,Intranet,10.86.13.12,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdviirsbld01,wvdviirsbld01,192.168.95.220,Intranet,10.86.13.19,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdviirsdev01,wvdviirsdev01,192.168.95.98,Intranet,10.86.13.22,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvdviirsdev02,wvdviirsdev02,192.168.95.100,Intranet,10.86.13.26,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
